source_file,list_name,flow_uuid,flow_name,context,unit,cas_number,synonyms
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,3-Methyl-1-butanol,"water/ground-, long-term",kg,,"isoamyl alcohol, Isopentyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,3-Methyl-1-butanol,water/ocean,kg,,"isoamyl alcohol, Isopentyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,3-Methyl-1-butanol,water/surface water,kg,,"isoamyl alcohol, Isopentyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,3-Methyl-1-butanol,water/unspecified,kg,,"isoamyl alcohol, Isopentyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,4-Methyl-2-pentanol,water/ground-,kg,,"Methyl isobutyl carbinol, Methylamyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,4-Methyl-2-pentanol,"water/ground-, long-term",kg,,"Methyl isobutyl carbinol, Methylamyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,4-Methyl-2-pentanol,water/ocean,kg,,"Methyl isobutyl carbinol, Methylamyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,4-Methyl-2-pentanol,water/surface water,kg,,"Methyl isobutyl carbinol, Methylamyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,4-Methyl-2-pentanol,water/unspecified,kg,,"Methyl isobutyl carbinol, Methylamyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,4-Methyl-2-pentanone,"air/low population density, long-term",kg,,"Methyl isobutyl ketone, MIBK"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,4-Methyl-2-pentanone,air/lower stratosphere + upper troposphere,kg,,"Methyl isobutyl ketone, MIBK"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,4-Methyl-2-pentanone,air/non-urban air or from high stacks,kg,,"Methyl isobutyl ketone, MIBK"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,4-Methyl-2-pentanone,air/unspecified,kg,,"Methyl isobutyl ketone, MIBK"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,4-Methyl-2-pentanone,air/urban air close to ground,kg,,"Methyl isobutyl ketone, MIBK"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,4-Methyl-2-pentanone,water/ground-,kg,,"Methyl isobutyl ketone, MIBK"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,4-Methyl-2-pentanone,"water/ground-, long-term",kg,,"Methyl isobutyl ketone, MIBK"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,4-Methyl-2-pentanone,water/ocean,kg,,"Methyl isobutyl ketone, MIBK"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,4-Methyl-2-pentanone,water/surface water,kg,,"Methyl isobutyl ketone, MIBK"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,4-Methyl-2-pentanone,water/unspecified,kg,,
